id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
417,180309043,Czech Liga Pro,Radek Rose,Michal Vavrecka,2025-08-28 16:30:00,Total,Over O 75.5,75.5,1.83,1.4285714285714286,28.09999999999999,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
418,180309048,Czech Liga Pro,Michal Syroha,Jiri Buryan,2025-08-28 18:00:00,To Win,Away,,2.37,1.5000000000000004,57.99999999999997,,,2025-08-27 12:55:46,2025-08-27 12:55:46,
420,180309052,Czech Liga Pro,Richard Krejci,Tomas Janata,2025-08-28 18:30:00,To Win,Home,,1.53,1.1627906976744187,31.579999999999984,,,2025-08-27 12:55:46,2025-08-27 12:55:46,
422,180309054,Czech Liga Pro,Jiri Buryan,Milan Cetner,2025-08-28 19:00:00,To Win,Home,,2.2,1.5000000000000004,46.66666666666664,,,2025-08-27 12:55:46,2025-08-27 12:55:46,
424,180309059,Czech Liga Pro,Daniel Kouble,Richard Krejci,2025-08-28 19:30:00,To Win,Away,,1.61,1.25,28.800000000000015,,,2025-08-27 12:55:47,2025-08-27 12:55:47,
432,180309075,Czech Liga Pro,Richard Krejci,Laurent Lasota,2025-08-28 21:30:00,To Win,Home,,1.83,1.25,46.40000000000002,,,2025-08-27 12:55:48,2025-08-27 12:55:48,
433,180309077,Czech Liga Pro,Pavel Sprynar,Jiri Buryan,2025-08-28 22:00:00,To Win,Away,,2.0,1.5000000000000004,33.3333333333333,,,2025-08-27 12:55:48,2025-08-27 12:55:48,
434,180309077,Czech Liga Pro,Pavel Sprynar,Jiri Buryan,2025-08-28 22:00:00,Total,Under U 76.5,76.5,1.83,1.4444444444444444,26.692307692307693,,,2025-08-27 12:55:48,2025-08-27 12:55:48,
437,180309082,Czech Liga Pro,Hoang Tai Nguyen Ba,Miroslav Adamec,2025-08-28 22:30:00,To Win,Away,,2.37,1.25,89.60000000000001,,,2025-08-27 12:55:48,2025-08-27 12:55:48,
450,180302339,TT Cup,Jiri Volek,Michal Brozek,2025-08-27 13:25:00,Total,Under U 75.5,75.5,1.83,1.0769230769230769,69.92857142857144,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
451,180302416,TT Cup,Milos Frydl,Martin Sulc,2025-08-27 14:20:00,To Win,Away,,1.8,1.1627906976744187,54.79999999999998,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
452,180302416,TT Cup,Milos Frydl,Martin Sulc,2025-08-27 14:20:00,Total,Under U 75.5,75.5,1.83,1.2142857142857144,50.70588235294118,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
453,180302417,TT Cup,Jan Hendrych,Jan Hrncir,2025-08-27 14:50:00,Total,Over O 75.5,75.5,1.83,1.5,21.999999999999996,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
454,180302542,TT Cup,Adam Kosacky,Petr Vanek,2025-08-27 14:55:00,To Win,Home,,3.0,2.0,50.0,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
455,180302503,TT Cup,Stanislav Jansa,Jakub Rolik,2025-08-27 15:10:00,To Win,Home,,2.0,1.6,25.0,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
456,180302418,TT Cup,Milos Frydl,Jan Hrncir,2025-08-27 15:20:00,Total,Under U 74.5,74.5,1.83,1.2857142857142856,42.33333333333334,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
457,180302543,TT Cup,Michal Brozek,Ondrej Fiklik,2025-08-27 15:25:00,To Win,Home,,2.0,1.5384615384615388,29.999999999999982,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
458,180302504,TT Cup,Radek Zeman,Jakub Rolik,2025-08-27 15:40:00,To Win,Away,,2.5,2.0,25.0,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
