id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,estimated_roi,result,profit,actual_result,sent_at
679,Czech Liga Pro,Frantisek Just,Martin Sobisek,2025-08-29 16:00:00,To Win,Home,,2.62,83.39999999999999,,,,2025-08-29 01:15:46
690,Czech Liga Pro,Michal Chalupa,Martin Vizek,2025-08-29 16:00:00,To Win,Home,,1.83,83.0,,,,2025-08-29 01:15:46
691,Czech Liga Pro,Michal Chalupa,Martin Vizek,2025-08-29 16:00:00,Total,Under U 76.5,76.5,1.83,83.0,,,,2025-08-29 01:15:46
694,Czech Liga Pro,Petr Sebera,Vladislav Hampejs,2025-08-29 18:00:00,To Win,Away,,1.9,89.99999999999999,,,,2025-08-29 01:15:46
695,Czech Liga Pro,Petr Sebera,Vladislav Hampejs,2025-08-29 18:00:00,Total,Over O 77.5,77.5,1.83,83.0,,,,2025-08-29 01:15:46
702,Czech Liga Pro,Matej Pycha,Josef Pelikan,2025-08-29 18:30:00,To Win,Home,,3.4,206.0,,,,2025-08-29 01:15:46
704,Czech Liga Pro,Marcel Pikous,Milan Klement,2025-08-29 19:00:00,To Win,Away,,2.62,109.60000000000004,,,,2025-08-29 01:15:46
706,Czech Liga Pro,Vladislav Hampejs,Petr Zmuda,2025-08-29 19:00:00,To Win,Home,,2.1,110.00000000000001,,,,2025-08-29 01:15:46
684,Czech Liga Pro,Robin Pacha,Milan Klement,2025-08-29 20:00:00,To Win,Away,,2.5,100.00000000000003,,,,2025-08-29 01:15:46
715,Czech Liga Pro,Frantisek Trojan,Matej Pycha,2025-08-29 20:00:00,To Win,Away,,2.2,98.00000000000003,,,,2025-08-29 01:15:46
718,Czech Liga Pro,Vladislav Hampejs,Jaroslav Bares,2025-08-29 20:30:00,To Win,Home,,1.83,83.0,,,,2025-08-29 01:15:46
719,Czech Liga Pro,Pavel Berdych,Josef Pelikan,2025-08-29 20:30:00,To Win,Home,,3.25,94.99999999999999,,,,2025-08-29 01:15:46
721,Czech Liga Pro,Jan Sucharda,Michal Chalupa,2025-08-29 22:00:00,To Win,Away,,1.83,83.0,,,,2025-08-29 01:15:46
